id,input_text,text_len,tts_latency_sec
52,"wow , that ' s a lot of money . how did you manage to save that much money ?",76,2.050039768218994
53,"i don ' t know about you , but i ' m not a fan of fruits that aren ' t citrus .",79,1.9038217067718506
54,i ' m not sure what you mean . are you talking about the product 5 or the product 3 ?,85,2.167931079864502
55,"i ' m not sure what you mean by that , but it ' s because of greenhouse gas emissions .",87,2.363643169403076
56,i don ' t know . i ' m not sure . maybe it ' s an optical effect ?,66,2.152855634689331
57,i ' m not sure what you mean . are you referring to the health care system in the united states ?,97,1.9963171482086182
58,2 . 8 . 0 . 4 . 4 is the highest number of people who have ever been to a concert .,83,2.2805418968200684
59,"i ' m not sure of the exact date , but i know it started in the 19th century .",78,1.7537455558776855
60,i ' m not sure what you ' re trying to say . what do you mean by that ?,71,2.646087884902954
61,that ' s a great idea . i think i ' ll do that . do you have any pets ?,71,2.641308069229126
62,i do a lot of yoga . it helps a lot . it ' s a great way to relax .,67,2.1874711513519287
63,what do you mean by that ? i ' m not sure what you ' re talking about . . .,75,2.1256332397460938
64,that ' s a good one . i think it ' s important to be confident in your abilities .,82,2.068279266357422
65,"i don ' t have a lot of upper body strength , but i ' m working on it .",71,2.2431392669677734
66,i don ' t know how to do that . i ' m not sure what i want to do .,66,2.352102279663086
67,mexican food is one of the most popular foods in the world . i would love to visit there one day .,98,2.272623062133789
68,"i ' m not sure , but i do know that he was the first to be nominated for a seat in the supreme court .",102,2.2216413021087646
69,"i ' m not sure i understand what you mean . what do you mean by "" artificial intelligence "" ?",93,2.3247954845428467
70,i ' m not sure what you mean by that . i can tell you that i remember a lot of things when i was younger .,106,2.147845506668091
71,do you like apple juice ? it ' s one of the most popular flavors in the world .,79,2.023454189300537
72,i ' m not sure i understand what you mean . what do you mean by summarise ?,75,2.2430777549743652
73,"i ' m not sure , but i do know that it ' s a lot faster and more user - friendly .",82,1.6701300144195557
74,that ' s a good idea . i ' m not sure how to do that . what do you think ?,74,2.2261056900024414
75,"i don ' t know what that means , but i do know that it ' s a great song .",73,2.179903030395508
76,spain is the largest country in the world by area . i would love to visit there one day .,89,2.2569031715393066
77,i don ' t think i ' ve ever used a neural network before . what ' s it like ?,77,7.202199935913086
78,i ' m not sure . it ' s been a long time since i ' ve been in a relationship .,78,2.050189733505249
79,"i ' m not sure what you ' re asking , but i can tell you that i love technology !",81,1.9863135814666748
80,"i ' m not sure how to do that , but i do know that recycling is a great way to reduce waste .",93,3.992400646209717
81,that ' s a great idea . i ' d love to do something like that . do you have a favorite subject ?,95,2.218177318572998
82,what do you mean by that ? i ' m not sure what you ' re trying to say .,71,2.1852211952209473
83,"that ' s a good idea , i ' ll try to do that . what do you like to make ?",73,2.7553470134735107
84,i ' m not sure what you mean by that . are you referring to the size of the banana ?,84,2.3882532119750977
85,i love bbq ! it ' s one of the most popular foods in the world . do you like it ?,81,2.6932907104492188
86,i ' m not sure i understand what you ' re saying . what do you mean by that ?,77,2.556231976
87,i ' ve never heard of him . what does he have to do with the company he founded ?,81,2.3040974140167236
88,"wow , that ' s a lot of money . what kind of laptops do you have now ?",70,2.195167064666748
89,i ' m not sure what you ' re asking . what do you want to know about the phrase ?,81,2.135546922683716
90,what kind of marketing plan are you talking about ? i ' m not sure what you ' re talking about .,96,2.3112683296203613
91,"bee is a great word . it ' s a latin word that means "" little bee "" in spanish .",80,2.172098398208618
92,i ' m not sure what you ' re asking . what do you want to know about examples ?,79,2.354851722717285
93,"i ' m not sure what you ' re talking about , but i ' ll tell you the third one .",80,1.896740198135376
94,"what is the meaning of the word "" dog "" ? i ' ve never heard of it before .",75,2.2734320163726807
95,"i can ' t think of any off the top of my head , but i ' m sure there are .",74,2.208329677581787
96,"i ' m not sure of the name , but i know it ' s a bird that flies .",66,2.3321585655212402
97,i ' m not sure what you mean by that . it ' s a network of networks that connect to other networks .,100,2.0504682064056396
98,that ' s a great idea ! i ' ll have to look into that . do you have any suggestions ?,85,2.5588784217834473
99,that ' s a great idea ! i ' ll have to look into that . do you have a favorite city ?,85,2.258610725402832
